,index,Breed,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,Classification,obey,reps_lower,reps_upper,avg_height,avg_weight,h_var,w_var,reps_var,avg_reps,linear_density
0,0,Akita,26.0,28.0,80.0,120.0,Average Working/Obedience Intelligence,50,26.0,40.0,27.0,100.0,0.037037037037037035,0.2,0.21212121212121213,33.0,0.27
1,2,Bernese Mountain Dog,23.0,27.0,85.0,110.0,Excellent Working Dogs,85,5.0,15.0,25.0,97.5,0.08,0.1282051282051282,0.5,10.0,0.2564102564102564
2,3,Bloodhound,24.0,26.0,80.0,120.0,Lowest Degree of Working/Obedience Intelligence ,60.76,81.0,100.0,25.0,100.0,0.04,0.2,0.10497237569060773,90.5,0.25
3,4,Borzoi,26.0,28.0,70.0,100.0,Lowest Degree of Working/Obedience Intelligence ,60.76,81.0,100.0,27.0,85.0,0.037037037037037035,0.17647058823529413,0.10497237569060773,90.5,0.3176470588235294
4,5,Bullmastiff,25.0,27.0,100.0,130.0,Fair Working/Obedience Intelligence,30,41.0,80.0,26.0,115.0,0.038461538461538464,0.13043478260869565,0.32231404958677684,60.5,0.22608695652173913
5,6,Great Dane,32.0,32.0,120.0,160.0,Average Working/Obedience Intelligence,50,26.0,40.0,32.0,140.0,0.0,0.14285714285714285,0.21212121212121213,33.0,0.22857142857142856
6,7,Great Pyrenees,27.0,32.0,95.0,120.0,Fair Working/Obedience Intelligence,30,41.0,80.0,29.5,107.5,0.0847457627118644,0.11627906976744186,0.32231404958677684,60.5,0.2744186046511628
7,9,Irish Wolfhound,28.0,35.0,90.0,150.0,Average Working/Obedience Intelligence,50,26.0,40.0,31.5,120.0,0.1111111111111111,0.25,0.21212121212121213,33.0,0.2625
8,10,Kuvasz,28.0,30.0,70.0,120.0,Average Working/Obedience Intelligence,50,26.0,40.0,29.0,95.0,0.034482758620689655,0.2631578947368421,0.21212121212121213,33.0,0.30526315789473685
9,11,Mastiff,27.0,30.0,175.0,190.0,Lowest Degree of Working/Obedience Intelligence ,60.76,81.0,100.0,28.5,182.5,0.05263157894736842,0.0410958904109589,0.10497237569060773,90.5,0.15616438356164383
10,13,Newfoundland,26.0,28.0,100.0,150.0,Above Average Working Dogs,70,16.0,25.0,27.0,125.0,0.037037037037037035,0.2,0.21951219512195122,20.5,0.216
11,15,Rottweiler,22.0,27.0,90.0,110.0,Brightest Dogs,95,1.0,4.0,24.5,100.0,0.10204081632653061,0.1,0.6,2.5,0.245
12,16,Saint Bernard,25.0,28.0,110.0,190.0,Fair Working/Obedience Intelligence,30,41.0,80.0,26.5,150.0,0.05660377358490566,0.26666666666666666,0.32231404958677684,60.5,0.17666666666666667
13,17,Afghan Hound,25.0,27.0,50.0,60.0,Lowest Degree of Working/Obedience Intelligence ,60.76,81.0,100.0,26.0,55.0,0.038461538461538464,0.09090909090909091,0.10497237569060773,90.5,0.4727272727272727
14,19,American Foxhound,22.0,25.0,65.0,70.0,Average Working/Obedience Intelligence,50,26.0,40.0,23.5,67.5,0.06382978723404255,0.037037037037037035,0.21212121212121213,33.0,0.34814814814814815
15,21,Belgian Malinois,22.0,26.0,60.0,65.0,Excellent Working Dogs,85,5.0,15.0,24.0,62.5,0.08333333333333333,0.04,0.5,10.0,0.384
16,22,Belgian Sheepdog,22.0,26.0,60.0,75.0,Excellent Working Dogs,85,5.0,15.0,24.0,67.5,0.08333333333333333,0.1111111111111111,0.5,10.0,0.35555555555555557
17,27,Boxer,21.0,25.0,65.0,70.0,Average Working/Obedience Intelligence,50,26.0,40.0,23.0,67.5,0.08695652173913043,0.037037037037037035,0.21212121212121213,33.0,0.34074074074074073
18,28,Briard,23.0,27.0,74.0,76.0,Above Average Working Dogs,70,16.0,25.0,25.0,75.0,0.08,0.013333333333333334,0.21951219512195122,20.5,0.3333333333333333
19,29,Chesapeake Bay Retriever,21.0,26.0,55.0,75.0,Above Average Working Dogs,70,16.0,25.0,23.5,65.0,0.10638297872340426,0.15384615384615385,0.21951219512195122,20.5,0.36153846153846153
20,30,Clumber Spaniel,19.0,20.0,35.0,65.0,Above Average Working Dogs,70,16.0,25.0,19.5,50.0,0.02564102564102564,0.3,0.21951219512195122,20.5,0.39
21,32,Curly Coated Retriever,25.0,27.0,65.0,80.0,Average Working/Obedience Intelligence,50,26.0,40.0,26.0,72.5,0.038461538461538464,0.10344827586206896,0.21212121212121213,33.0,0.3586206896551724
22,33,Doberman Pinscher,26.0,28.0,60.0,100.0,Brightest Dogs,95,1.0,4.0,27.0,80.0,0.037037037037037035,0.25,0.6,2.5,0.3375
23,34,English Foxhound,22.0,25.0,65.0,70.0,Average Working/Obedience Intelligence,50,26.0,40.0,23.5,67.5,0.06382978723404255,0.037037037037037035,0.21212121212121213,33.0,0.34814814814814815
24,35,English Setter,23.0,27.0,45.0,80.0,Above Average Working Dogs,70,16.0,25.0,25.0,62.5,0.08,0.28,0.21951219512195122,20.5,0.4
25,37,German Shorthaired Pointer,20.0,27.0,50.0,80.0,Excellent Working Dogs,85,5.0,15.0,23.5,65.0,0.14893617021276595,0.23076923076923078,0.5,10.0,0.36153846153846153
26,38,German Wirehaired Pointer,22.0,26.0,60.0,70.0,Average Working/Obedience Intelligence,50,26.0,40.0,24.0,65.0,0.08333333333333333,0.07692307692307693,0.21212121212121213,33.0,0.36923076923076925
27,39,Giant Schnauzer,25.0,28.0,70.0,75.0,Above Average Working Dogs,70,16.0,25.0,26.5,72.5,0.05660377358490566,0.034482758620689655,0.21951219512195122,20.5,0.36551724137931035
28,40,Golden Retriever,21.0,24.0,55.0,75.0,Brightest Dogs,95,1.0,4.0,22.5,65.0,0.06666666666666667,0.15384615384615385,0.6,2.5,0.34615384615384615
29,41,Gordon Setter,23.0,27.0,45.0,80.0,Above Average Working Dogs,70,16.0,25.0,25.0,62.5,0.08,0.28,0.21951219512195122,20.5,0.4
30,42,Greyhound,27.0,30.0,60.0,70.0,Average Working/Obedience Intelligence,50,26.0,40.0,28.5,65.0,0.05263157894736842,0.07692307692307693,0.21212121212121213,33.0,0.43846153846153846
31,43,Irish Setter,25.0,27.0,60.0,70.0,Above Average Working Dogs,70,16.0,25.0,26.0,65.0,0.038461538461538464,0.07692307692307693,0.21951219512195122,20.5,0.4
32,45,Labrador Retriever,21.0,24.0,55.0,80.0,Brightest Dogs,95,1.0,4.0,22.5,67.5,0.06666666666666667,0.18518518518518517,0.6,2.5,0.3333333333333333
33,48,Rhodesian Ridgeback,24.0,27.0,70.0,85.0,Average Working/Obedience Intelligence,50,26.0,40.0,25.5,77.5,0.058823529411764705,0.0967741935483871,0.21212121212121213,33.0,0.32903225806451614
34,49,Scottish Deerhound,28.0,32.0,75.0,110.0,Average Working/Obedience Intelligence,50,26.0,40.0,30.0,92.5,0.06666666666666667,0.1891891891891892,0.21212121212121213,33.0,0.32432432432432434
35,52,Weimaraner,25.0,27.0,70.0,85.0,Excellent Working Dogs,85,5.0,15.0,26.0,77.5,0.038461538461538464,0.0967741935483871,0.5,10.0,0.33548387096774196
36,54,American Staffordshire Terrier,17.0,19.0,40.0,50.0,Above Average Working Dogs,70,16.0,25.0,18.0,45.0,0.05555555555555555,0.1111111111111111,0.21951219512195122,20.5,0.4
37,55,American Water Spaniel,15.0,18.0,25.0,45.0,Average Working/Obedience Intelligence,50,26.0,40.0,16.5,35.0,0.09090909090909091,0.2857142857142857,0.21212121212121213,33.0,0.4714285714285714
38,56,Australian Cattle Dog,17.0,20.0,35.0,45.0,Brightest Dogs,95,1.0,4.0,18.5,40.0,0.08108108108108109,0.125,0.6,2.5,0.4625
39,57,Australian Shepherd,18.0,23.0,40.0,60.0,Average Working/Obedience Intelligence,50,26.0,40.0,20.5,50.0,0.12195121951219512,0.2,0.21212121212121213,33.0,0.41
40,58,Basset Hound,14.0,14.0,40.0,50.0,Lowest Degree of Working/Obedience Intelligence ,60.76,81.0,100.0,14.0,45.0,0.0,0.1111111111111111,0.10497237569060773,90.5,0.3111111111111111
41,59,Bearded Collie,20.0,22.0,40.0,60.0,Above Average Working Dogs,70,16.0,25.0,21.0,50.0,0.047619047619047616,0.2,0.21951219512195122,20.5,0.42
